y,x
0,15439
1,15439
2,15439
3,15439
4,15439
5,15439
6,15439
7,15439
8,15439
9,15439
10,15439
11,15439
12,15439
13,15439
14,15439
15,15439
16,15439
17,15439
18,15439
19,15439
20,15439
21,15439
22,15439
23,15439
24,15439
25,15439
26,15439
27,15439
28,15439
29,15439
30,15439
31,15439
32,15439
33,15439
34,15439
35,15439
36,15439
37,15439
38,15439
39,15439
40,15439
41,15439
42,15439
43,15439
44,15439
45,15439
46,15439
47,15439
48,15439
49,15439
50,15439
51,15439
52,15439
53,15439
54,15439
55,15439
56,15439
57,15439
58,15439
59,15439
60,15439
61,15439
62,15439
63,15439
64,15439
65,15439
66,15439
67,15439
68,15439
69,15439
70,15439
71,15439
72,15439
73,15439
74,15439
75,15439
76,15439
77,15439
78,15439
79,15439
80,15439
81,15439
82,15439
83,15439
84,15439
85,15439
86,15439
87,15439
88,15439
89,15439
90,15439
91,15439
92,15439
93,15439
94,15439
95,15439
96,15439
97,15439
98,15439
99,15439
100,15439
101,15439
102,15439
103,15439
104,15439
105,15439
106,15439
107,15439
108,15439
109,15439
110,15439
111,15439
112,15439
113,15439
114,15439
115,15439
116,15439
117,15439
118,15439
119,15439
120,15439
121,15439
122,15439
123,15439
124,15439
125,15439
126,15439
127,15439
128,15439
129,15439
130,15439
131,15439
132,15439
133,15439
134,15439
135,15439
136,15439
137,15439
138,15439
139,15439
140,15439
141,15439
142,15439
143,15439
144,15439
145,15439
146,15439
147,15439
148,15439
149,15439
150,15439
151,15439
152,15439
153,15439
154,15439
155,15439
156,15439
157,15439
158,15439
159,15439
160,15439
161,15439
162,15439
163,15439
164,15439
165,15439
166,15439
167,15439
168,15439
169,15439
170,15439
171,15439
172,15439
173,15439
174,15439
175,15439
176,15439
177,15439
178,15439
179,15439
180,15439
181,15439
182,15439
183,15439
184,15439
185,15439
186,15439
187,15439
188,15439
189,15439
190,15439
191,15439
192,15439
193,15439
194,15439
195,15439
196,15439
197,15439
198,15439
199,15439
200,15439
201,15439
202,15439
203,15439
204,15439
205,15439
206,15439
207,15439
208,15439
209,15439
210,15439
211,15439
212,15439
213,15439
214,15439
215,15439
216,15439
217,15439
218,15439
219,15439
220,15439
221,15439
222,15439
223,15439
224,15439
225,15439
226,15439
227,15439
228,15439
229,15439
230,15439
231,15439
232,15439
233,15439
234,15439
235,15439
236,15439
237,15439
238,15439
239,15439
240,15439
241,15439
242,15439
243,15438
244,15438
245,15438
246,15438
247,15438
248,15438
249,15438
250,15438
251,15438
252,15438
253,15438
254,15438
255,15438
256,15438
257,15438
258,15438
259,15438
260,15438
261,15438
262,15438
263,15438
264,15438
265,15438
266,15438
267,15438
268,15438
269,15438
270,15438
271,15438
272,15438
273,15438
274,15438
275,15438
276,15438
277,15438
278,15438
279,15438
280,15438
281,15438
282,15438
283,15438
284,15438
285,15438
286,15438
287,15438
288,15438
289,15438
290,15438
291,15438
292,15438
293,15438
294,15438
295,15438
296,15438
297,15438
298,15438
299,15438
300,15438
301,15438
302,15438
303,15438
304,15438
305,15438
306,15438
307,15438
308,15438
309,15438
310,15438
311,15438
312,15438
313,15438
314,15438
315,15438
316,15438
317,15438
318,15438
319,15438
320,15438
321,15438
322,15438
323,15438
324,15438
325,15438
326,15438
327,15438
328,15438
329,15438
330,15438
331,15438
332,15438
333,15438
334,15438
335,15438
336,15438
337,15438
338,15438
339,15438
340,15438
341,15438
342,15438
343,15438
344,15438
345,15438
346,15438
347,15438
348,15438
349,15438
350,15438
351,15438
352,15438
353,15438
354,15438
355,15438
356,15438
357,15438
358,15438
359,15438
360,15438
361,15437
362,15437
363,15437
364,15437
365,15437
366,15437
367,15437
368,15437
369,15437
370,15437
371,15437
372,15437
373,15437
374,15437
375,15437
376,15437
377,15437
378,15437
379,15437
380,15437
381,15437
382,15437
383,15437
384,15437
385,15437
386,15437
387,15437
388,15437
389,15437
390,15437
391,15437
392,15437
393,15437
394,15437
395,15437
396,15437
397,15437
398,15437
399,15437
400,15437
401,15437
402,15437
403,15437
404,15437
405,15437
406,15437
407,15437
408,15437
409,15437
410,15437
411,15437
412,15437
413,15437
414,15437
415,15437
416,15437
417,15437
418,15437
419,15437
420,15437
421,15437
422,15437
423,15437
424,15437
425,15437
426,15437
427,15437
428,15437
429,15437
430,15437
431,15437
432,15437
433,15437
434,15437
435,15437
436,15437
437,15437
438,15437
439,15437
440,15437
441,15437
442,15437
443,15437
444,15437
445,15437
446,15437
447,15437
448,15437
449,15436
450,15436
451,15436
452,15436
453,15436
454,15436
455,15436
456,15436
457,15436
458,15436
459,15436
460,15436
461,15436
462,15436
463,15436
464,15436
465,15436
466,15436
467,15436
468,15436
469,15436
470,15436
471,15436
472,15436
473,15436
474,15436
475,15436
476,15436
477,15436
478,15436
479,15436
480,15436
481,15436
482,15436
483,15436
484,15436
485,15436
486,15436
487,15436
488,15436
489,15436
490,15436
491,15436
492,15436
493,15436
494,15436
495,15436
496,15436
497,15436
498,15436
499,15436
500,15436
501,15436
502,15436
503,15436
504,15436
505,15436
506,15436
507,15436
508,15436
509,15436
510,15436
511,15436
512,15436
513,15436
514,15436
515,15436
516,15436
517,15436
518,15436
519,15436
520,15436
521,15436
522,15435
523,15435
524,15435
525,15435
526,15435
527,15435
528,15435
529,15435
530,15435
531,15435
532,15435
533,15435
534,15435
535,15435
536,15435
537,15435
538,15435
539,15435
540,15435
541,15435
542,15435
543,15435
544,15435
545,15435
546,15435
547,15435
548,15435
549,15435
550,15435
551,15435
552,15435
553,15435
554,15435
555,15435
556,15435
557,15435
558,15435
559,15435
560,15435
561,15435
562,15435
563,15435
564,15435
565,15435
566,15435
567,15435
568,15435
569,15435
570,15435
571,15435
572,15435
573,15435
574,15435
575,15435
576,15435
577,15435
578,15435
579,15435
580,15435
581,15435
582,15435
583,15435
584,15435
585,15435
586,15434
587,15434
588,15434
